ref_ids
HG02502
HG01938
HG00674
HG01847
NA18570
NA20754
NA19027
NA19321
HG01272
NA18637
HG01684
HG02508
HG02771
NA21120
HG02585
HG00353
HG02810
NA18502
NA19190
HG01437
HG01785
NA20506
HG02332
HG00611
HG00357
NA20874
NA21122
HG03490
HG02410
NA18948
HG00264
HG01486
HG02586
HG03773
HG03784
HG03074
HG03096
HG02678
HG01412
NA19060
HG04177
NA19834
NA12348
HG01920
HG01089
HG02768
NA19682
NA19701
NA19074
NA12749
NA19451
HG03645
HG03301
HG02667
HG03667
NA18641
HG02185
HG01359
HG01256
NA19648
NA12272
NA19394
NA19137
NA18942
HG02577
HG02983
HG00384
HG00422
HG01933
NA18596
HG01069
HG01495
HG03132
HG01986
HG01670
HG04229
NA19700
HG01131
NA18626
HG00180
NA20582
HG02223
HG01851
HG00342
HG01479
NA20524
HG01029
NA11919
NA12414
NA19030
NA18624
NA19439
HG03458
HG02736
HG02655
HG01351
NA19184
NA20356
HG01626
NA06994
HG03027
NA12005
NA11931
NA19669
HG03464
HG00281
NA19235
HG03711
HG02722
HG03091
NA12874
NA11995
HG01104
HG01889
HG03006
NA19982
HG03908
HG03585
HG03603
HG03084
HG03977
HG03538
HG02450
HG01868
HG01608
HG03850
NA18577
NA18558
HG02138
HG03258
NA21125
HG01028
HG02629
NA19375
HG00237
HG02855
HG01507
HG03057
HG00321
HG00360
NA19316
HG03351
NA20512
HG02624
HG00150
HG02976
HG02787
HG01413
HG04100
HG04235
HG01513
HG00689
NA12400
HG01615
HG02127
HG00288
HG03159
NA12546
HG02283
HG02012
NA19082
HG01501
HG01598
HG01140
NA18910
HG02384
HG00437
HG04227
HG03616
HG03830
NA18939
NA19055
HG04094
HG02654
NA20756
HG03800
HG00641
NA20766
NA19009
NA19384
HG02697
HG02060
HG02111
NA18964
HG02938
HG03548
NA12154
NA19197
HG01894
HG00698
HG03790
HG01886
HG01577
HG03046
NA18572
HG02574
HG00407
HG00559
HG02140
HG01686
HG04090
NA19236
HG01673
HG02922
NA19456
HG00186
NA18978
HG01308
NA19121
HG00675
NA18853
HG00171
HG02308
NA19446
NA19089
NA19086
NA20764
HG02355
HG02760
HG02419
NA19355
HG00304
HG03702
HG01392
HG00610
NA20534
HG02146
NA12718
NA19663
HG02568
HG03974
NA20342
HG04212
HG00448
NA18579
HG02491
HG04211
NA21099
NA20581
NA20882
HG01031
HG02477
NA20891
HG03680
NA20803
NA20906
HG02102
HG00111
HG01277
HG01965
NA12827
NA18636
HG00537
HG01550
HG02047
HG01747
NA18630
HG03168
HG02144
NA18984
NA19095
HG02807
HG03052
HG01970
NA19383
NA19914
NA12144
HG04063
HG01269
HG01607
HG03079
HG03229
HG00185
HG03058
HG03785
NA20318
HG02494
NA19376
HG00593
HG00592
HG03730
HG01350
NA20887
HG01108
NA20890
HG01198
NA18740
NA20888
HG03078
HG03372
HG00556
NA18982
HG03114
HG00239
NA19385
HG02224
HG00282
HG00446
NA19017
NA12004
NA12282
HG02364
HG00120
HG03391
HG03898
HG03640
NA18646
NA19099
HG01801
HG03926
NA19401
NA20785
HG01052
HG03224
HG01603
HG01704
HG01810
HG02104
NA19038
HG03100
HG01064
HG00263
NA20412
NA20518
NA19679
HG00132
HG02757
NA20535
HG01858
NA19904
HG03436
HG03861
HG00740
HG01110
HG00531
NA18923
HG02481
NA21104
NA20351
HG03394
NA20786
HG00259
NA21097
HG04140
NA18536
HG03803
HG02971
HG01632
NA11893
HG02489
HG02121
HG01620
HG00403
HG00383
NA20812
HG00732
HG00246
HG01777
HG03780
NA12748
HG02700
HG01961
HG01105
HG04239
NA19755
HG04061
HG01374
HG01365
HG02373
HG02982
NA19454
HG03461
NA18567
HG04161
HG04180
HG00361
HG03738
HG03130
HG00351
NA19347
NA19225
NA21110
NA18565
NA19466
HG00595
HG04118
HG02026
NA19031
HG00236
HG00629
NA07056
NA20320
HG01323
HG03652
HG00701
HG01756
HG02391
NA19129
HG02554
HG02409
NA20815
HG01247
HG04162
HG03077
NA19777
HG01619
NA19010
NA18908
NA18537
NA19475
NA19625
HG01595
HG00319
HG01846
NA12155
NA19079
HG02485
HG02808
HG01280
HG00463
HG03419
HG01137
HG02490
HG02682
NA20892
HG02049
HG01708
HG03556
NA20359
HG01046
NA18985
HG01190
HG01988
HG03279
HG00231
NA19012
HG00157
NA12778
HG01461
NA19189
HG03720
NA19062
HG02395
NA18946
HG02231
HG02314
NA18553
