ref_ids
NA12873
HG02292
HG01528
NA18591
NA19393
HG01393
HG01191
HG02104
HG02734
HG03394
NA18558
NA19777
HG02072
HG01804
NA20863
HG03863
HG00557
NA21108
NA18633
HG01530
HG01435
NA20899
HG03380
NA19316
HG02122
HG03575
HG01756
HG03963
HG01773
HG01843
HG01168
HG01414
NA20815
HG04093
HG02051
HG01776
HG00160
NA18968
HG04182
HG02760
NA19019
HG01892
NA19256
HG03410
HG03027
HG01522
HG00580
NA20518
HG00864
HG03025
HG03109
HG03199
HG02047
HG03451
NA18944
HG01565
HG01971
HG01512
HG03706
HG01973
NA19117
NA18595
NA20768
NA18999
HG04094
NA19214
NA21130
NA12761
HG02891
HG02513
HG03488
NA18563
HG03714
HG01799
HG01271
NA20801
HG00373
HG03521
NA20896
NA19084
HG01075
NA19794
HG03270
HG02084
NA18909
HG03469
NA18516
HG01031
NA18876
HG03968
NA18528
NA18621
HG04106
HG00675
NA19474
HG03985
HG02353
HG00356
NA19085
HG00448
HG03999
HG00130
HG03202
HG02813
NA18505
HG00231
HG00479
HG00285
HG03708
NA11992
NA18560
HG03925
HG01781
HG02380
NA20521
NA20504
NA20803
HG03636
HG01402
HG04035
HG00328
HG01363
HG00148
HG02799
NA19206
HG03135
HG01474
NA20282
HG03753
NA18638
NA19377
HG01708
NA19351
NA20753
HG03941
NA20540
HG02974
HG03974
HG02700
NA20890
HG04144
HG01615
HG02299
HG03388
HG03419
NA19385
NA19922
NA19213
HG03971
HG02820
HG02884
HG00631
HG01277
HG00253
NA21106
HG02323
HG02090
HG00355
HG02179
HG02079
HG01572
NA20321
NA07051
HG03237
NA20527
HG00243
HG02006
HG02702
HG03099
NA18609
HG03752
HG01504
NA19323
NA20798
HG03133
HG02429
NA18644
HG00263
NA12489
HG02356
HG01762
NA18610
NA20346
HG03212
NA20885
HG03436
HG01468
HG03716
NA20774
HG04140
NA19682
HG01953
HG04029
HG02134
HG03740
NA20766
HG02304
HG02787
HG02733
HG04134
HG01525
NA19011
HG03139
NA18637
HG02896
HG01785
NA21143
HG02816
NA19027
HG00271
NA19403
HG04158
HG00554
HG01695
NA21091
HG03234
NA19320
NA20891
HG01142
HG01113
HG02425
HG01771
HG00599
HG01850
HG01102
NA18574
HG03063
NA20291
HG02343
NA19062
NA19651
HG01506
HG04235
HG04017
HG02406
HG00146
HG01709
NA19012
HG01356
HG04099
HG03967
NA20769
HG02805
HG01863
HG00743
NA19042
HG02113
HG01979
HG00365
NA19448
HG03121
HG00315
NA20538
NA20589
NA19003
HG01455
HG02351
HG03470
HG03077
HG01518
NA21094
HG04153
NA18949
NA12156
HG01072
NA19701
HG03976
HG03129
HG00366
HG00304
NA20517
HG01378
HG01134
HG02573
NA21113
HG02481
HG03557
NA18978
HG02010
NA07000
HG01976
HG01958
HG01177
HG02485
HG03896
HG03955
HG02774
NA19713
HG02250
HG01757
NA20510
HG01673
HG02780
HG02634
HG02490
NA20764
HG02383
HG03130
HG01537
HG02049
NA19716
NA19376
NA19669
NA18648
NA20296
HG00278
HG00260
NA19731
HG00500
NA18631
HG01704
HG01675
NA18867
HG03297
NA19404
HG01351
HG00288
HG00321
HG00252
HG00476
HG02716
HG03772
HG03767
HG03667
NA19201
HG02390
HG01566
HG04180
NA20528
HG02983
HG02736
NA20810
HG02069
NA19083
HG02373
HG02152
NA21128
HG03943
NA12775
NA19901
NA19909
HG02401
NA18507
NA19075
HG03830
HG02020
NA19020
HG01438
HG02614
HG02839
NA19200
HG00717
HG03066
HG03437
HG00581
HG03736
HG01492
HG01602
HG03884
HG03015
NA20512
HG03850
NA20772
NA19678
HG00282
NA18564
HG03693
HG01107
HG04131
NA12890
HG03428
HG03195
NA21116
NA18555
NA20587
HG03258
HG02058
HG02537
HG01372
NA20832
NA19789
HG02188
HG03572
NA20872
HG01632
HG00693
NA12340
HG02286
HG01798
HG02687
HG03619
NA19723
HG03858
NA11843
HG01894
HG02332
HG00403
HG01171
NA19734
NA18907
HG01595
HG04002
HG01880
HG00731
HG01046
HG04047
HG00150
NA19189
HG01578
HG02102
HG03900
HG02105
HG00595
NA12762
HG02032
NA19429
HG03660
NA19759
HG01122
HG00692
HG02691
HG01992
HG03685
HG02107
NA19108
HG00978
NA20822
HG01173
HG04090
HG00737
NA20821
NA19437
HG01954
HG01668
HG03872
HG01885
NA21119
NA20514
HG03920
HG03401
NA18998
HG02938
HG01950
HG01779
NA19102
NA20892
NA12874
NA21089
HG02023
HG03126
HG00611
NA20348
HG04239
HG04042
HG03114
NA20362
HG00183
HG01705
HG02682
HG01933
HG03049
HG01500
NA20340
HG02420
HG02278
HG00525
HG03279
HG02164
NA19035
HG02223
HG01947
HG04171
NA20506
HG02783
HG00598
NA20846
HG00149
HG01049
NA18501
HG02374
NA18533
HG01630
HG00346
HG02890
HG02121
HG00329
HG03615
NA19172
HG01248
HG03352
NA18573
NA18626
HG02979
HG03836
HG03112
HG01879
NA19397
HG03743
HG01104
HG03821
NA19670
HG01353
NA12750
HG03006
HG03012
HG03074
HG00232
HG00472
HG02489
HG03432
HG02391
HG02477
NA19247
NA21141
HG01079
HG01597
HG01606
HG03679
NA19088
HG02285
HG01256
NA11930
HG01935
HG03491
HG00421
HG01164
NA19776
NA20882
NA18535
HG02449
NA18748
HG01198
NA19077
HG03103
HG03354
HG02379
HG00274
HG01080
NA20289
NA20334
NA21098
HG01489
HG02922
HG02681
HG01176
HG03826
HG01801
